Year,Teams,Attendance,Goals,TotalGoals
1930,Argentina,49640.0,18,18
1930,Brazil,24762.5,5,5
1930,France,9951.0,4,4
1930,Uruguay,68992.5,15,15
1934,Argentina,14000.0,2,20
1934,Brazil,21000.0,1,6
1934,France,16000.0,2,6
1934,Germany,8250.0,11,11
1934,Italy,38600.0,12,12
1934,Netherlands,33000.0,2,2
1938,Brazil,19722.8,14,20
1938,France,44454.5,4,10
1938,Germany,23588.5,3,14
1938,Italy,38863.75,11,23
1938,Netherlands,11000.0,0,2
1950,Brazil,121936.33333333333,22,42
1950,Italy,31156.5,4,27
1950,Uruguay,57980.75,15,30
1954,Brazil,26035.666666666668,8,50
1954,France,17500.0,3,13
1954,Germany FR,39750.0,25,25
1954,Italy,32333.333333333332,6,33
1954,Uruguay,31900.0,16,46
1958,Argentina,20582.666666666668,5,25
1958,Brazil,35395.166666666664,16,66
1958,France,18945.333333333332,23,36
1958,Germany FR,30025.833333333332,12,37
1962,Argentina,8291.0,2,27
1962,Brazil,34518.5,14,80
1962,Germany FR,65227.5,4,41
1962,Italy,63775.0,3,36
1962,Uruguay,8903.333333333334,4,50
1966,Argentina,53009.0,4,31
1966,Brazil,52391.333333333336,4,84
1966,France,71056.33333333333,2,38
1966,Germany FR,50017.5,15,56
1966,Italy,24273.666666666668,2,38
1966,Uruguay,58482.25,2,52
1970,Brazil,63908.333333333336,19,103
1970,Germany FR,45621.833333333336,17,73
1970,Italy,48333.0,10,48
1970,Uruguay,41755.666666666664,4,56
1974,Argentina,46483.666666666664,9,40
1974,Brazil,55751.857142857145,6,109
1974,Germany FR,67140.71428571429,13,86
1974,Italy,64400.0,5,53
1974,Netherlands,59842.28571428572,15,17
1974,Uruguay,32266.666666666668,1,57
1978,Argentina,56886.857142857145,15,55
1978,Brazil,40058.57142857143,10,119
1978,France,45722.0,5,43
1978,Germany FR,46686.5,10,96
1978,Italy,58850.28571428572,9,62
1978,Netherlands,43057.42857142857,15,32
1982,Argentina,49318.6,8,63
1982,Brazil,49275.8,15,134
1982,France,39173.57142857143,16,59
1982,Germany FR,64298.42857142857,12,108
1982,Italy,43571.42857142857,12,74
1986,Argentina,75240.0,14,77
1986,Brazil,48949.6,10,144
1986,France,47780.0,12,71
1986,Germany FR,45371.42857142857,8,116
1986,Italy,54500.0,5,79
1986,Uruguay,25750.0,2,59
1990,Argentina,59457.857142857145,5,82
1990,Brazil,61129.5,4,148
1990,Germany FR,71797.28571428571,15,131
1990,Italy,68291.28571428571,10,89
1990,Netherlands,44100.5,3,35
1990,Uruguay,42953.5,2,61
1994,Argentina,65844.0,8,90
1994,Brazil,82196.57142857143,11,159
1994,Germany,64494.8,9,23
1994,Italy,68366.85714285714,8,97
1994,Netherlands,59671.0,8,43
1998,Argentina,39280.0,10,100
1998,Brazil,55071.42857142857,14,173
1998,France,62700.0,15,86
1998,Germany,36460.0,8,31
1998,Italy,54720.0,8,105
1998,Netherlands,50085.71428571428,13,56
2002,Argentina,38584.666666666664,2,102
2002,Brazil,46725.57142857143,18,191
2002,France,49650.0,0,86
2002,Germany,44565.0,14,45
2002,Italy,36358.0,5,110
2002,Uruguay,34042.333333333336,4,65
2006,Argentina,52896.0,11,113
2006,Brazil,63200.0,10,201
2006,France,52285.71428571428,9,95
2006,Germany,65428.57142857143,14,59
2006,Italy,52714.28571428572,12,122
2006,Netherlands,46000.0,3,59
2010,Argentina,65045.6,10,123
2010,Brazil,59156.0,9,210
2010,France,46295.0,1,96
2010,Germany,55167.0,16,75
2010,Italy,51503.333333333336,4,126
2010,Netherlands,65383.57142857143,12,71
2010,Uruguay,50504.28571428572,11,76
2014,Argentina,65031.181818181816,10,133
2014,Brazil,61819.90909090909,15,225
2014,France,64572.57142857143,12,108
2014,Germany,62979.555555555555,29,104
2014,Italy,39930.333333333336,2,128
2014,Netherlands,57876.36363636364,20,91
2014,Uruguay,61713.6,4,80
